"adult","backdrop_path","id","original_language","original_title","overview","popularity","poster_path","release_date","title","video","vote_average","vote_count","genre_Drama","genre_Romance","genre_Adventure","genre_Comedy","genre_Action","genre_War","genre_Documentary","genre_Music","genre_Crime","genre_Western","genre_History","genre_Thriller","genre_Science Fiction","genre_Fantasy","genre_Horror","genre_Animation","genre_Mystery","genre_Family","genre_TV Movie"
FALSE,"/2dQPQ6MXsVUkFNR0iVoHEZajBDN.jpg",49616,"en","The Miracle of Our Lady of Fatima","In 1917, three shepherd children living just outside Fatima, Portugal have visions of a lovely lady in a cloud. The anticlerical government wishes to squelch the Church; reports of religious experiences are cause for serious concern. Yet the children stand by their story, and the message of peace and hope the Lady brings. In the last vision, attended by thousands of people, the Lady proves her reality with a spectacular miracle that is seen by everyone present. Based on actual events at Fatima in the summer of 1917.",2.556,"/sIAnF7FtMpiSZXTZhS9W5e6Zb0t.jpg","1952-08-20","The Miracle of Our Lady of Fatima",FALSE,5.7,24,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FALSE,"/nNbzEIl7CtSpeNcL9PpOfBgyyYD.jpg",216925,"en","The Jazz Singer","A young Jewish man is torn between tradition and individuality when his old-fashioned family objects to his career as a jazz singer.",2.544,"/s3Gzy54ktJUjYRDotulMDqNHH5u.jpg","1953-02-14","The Jazz Singer",FALSE,5.5,6,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
FALSE,"/pQqUZCEH9YOvBEWMadqJV8m3nHd.jpg",30801,"en","Son of Paleface","Peter Potter Jr. returns to claim his father's gold, which is nowhere to be found.",2.936,"/caCpFT0SjltDb0uy29LWv2MRvr7.jpg","1952-07-14","Son of Paleface",FALSE,6.3,32,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
FALSE,"/vBcOATmfj7ubImAhYMZmzqpKRrc.jpg",184802,"en","Because You're Mine","A famous opera singer falls for his sergeant's sister at boot camp.",2.395,"/7hqqJHg13fidcV20f4oGd25Be5c.jpg","1952-10-01","Because You're Mine",FALSE,6.7,3,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
FALSE,"/8WeKC8rnfI3NvmgZKrLp9ONVBUe.jpg",46014,"en","Just for You","Jordan Blake (a widower) is a successful Broadway Producer who has always been to busy for his children, Barbara and Jerry. Girlfriend, Carolina a musical comedy star, urges Jordan to take his kids on a vacation and get to know them before they are all grown up. Is Jordan already too late?",1.259,"/l0jKVfRTyWYE9EJcIpwaqPdr5WF.jpg","1952-09-27","Just for You",FALSE,4.8,3,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
FALSE,"/oq5svQNISKtEIYokYcB9zQJAvY.jpg",242994,"en","Madeline","This short from the UPA studio was nominated for the 1952 Oscars. Based on the Madeline series of children's books.",0.644,"/g2yFPAeFjlLswdgAKSjhoxzjJsC.jpg","1952-11-27","Madeline",FALSE,6.2,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
FALSE,"/dfQBnAdAnuAzLZ4awRLU5dnvf25.jpg",242995,"en","Pink and Blue Blues","Mr. Magoo is hired by his neighbors to babysit their little son, Homer. Magoo is delighted to accept but, unfortunately, a notorious cat burglar is intent on entering and robbing the house Magoo is babysitting it. To make matters worse, Magoo is constantly confusing Homer with the family dog and vice versa. When the thief finally breaks in, all chaos breaks loose but everything turns out all right in the end when the thief is apprehended thanks to the dog who is more alert than Magoo was.",0.424,NA,"1952-08-18","Pink and Blue Blues",FALSE,5.5,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
FALSE,"/pfAgq548g7ETAF6uNB2D9U6uxEd.jpg",242996,"en","The Romance of Transportation in Canada","A humorous survey of the history of the development of transportation technology in Canada.",0.25,"/h6YeEkL7CLspoCWj2nsLCFiwwQ1.jpg","1952-01-01","The Romance of Transportation in Canada",FALSE,6.1,7,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
FALSE,NA,242990,"en","Athletes of the Saddle","This Grantland Rice Sportlight directed by Jack Eaton visits the internationally famous Mexican Army Equestrian Teams as it puts on a demonstration if the finest in horsemanship. The film was nominated for an Oscar for Best Short Subject, One-Reel.",0.001,"/1z5dvBbuYDXUNqOFJ95Z53Z0mRN.jpg","1952-08-01","Athletes of the Saddle",FALSE,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
FALSE,NA,242989,"en","Light in the Window: The Art of Vermeer","Light in the Window is a 1952 short documentary film directed by Jean Oser. It is an innovative profile of the painter Johannes Vermeer. The film won an Oscar in 1953 for Best Short Subject, One-Reel.",0.333,"/ysYPPQ4DRBddcg2pdKRdNoT1stF.jpg","1952-09-01","Light in the Window: The Art of Vermeer",FALSE,6.333,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
FALSE,NA,242991,"en","Royal Scotland","Royal Scotland is a 1952 short documentary film directed by Gerard Bryant. It was nominated for an Oscar for Best Short Subject, One-Reel.",0.221,"/ufUKwqBs7VI6pLaqjQAIjqDNLpF.jpg","1952-01-01","Royal Scotland",FALSE,6.2,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
FALSE,NA,242988,"en","Thar She Blows!","Thar She Blows! is a 1952 short documentary directed by Richard Statile, composed of color footage of a whale hunt, filmed in a five month period near Antarctica. The film was nominated for an Oscar for Best Short Subject, Two-Reel.",0.455,"/m14wM21ldPyZMTtEVOODTfzRwuY.jpg","1952-12-01","Thar She Blows!",FALSE,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
FALSE,"/aQBfokxpXZVzXfajE1DgIkGWYVX.jpg",179184,"en","Water Birds","Water Birds is a 1952 short documentary film directed by Ben Sharpsteen. The film delves into the still waters of lagoons and marshes to the wild blue wilderness of the vast oceans, to experience the beauty and variety of their majestic birds, each perfectly designed for its habitat. It won the Oscar for Best Short Subject, Two-Reel.",4.992,"/u5gjIjIaMxmXC8UPqUsL9eHiphT.jpg","1952-06-26","Water Birds",FALSE,6.7,14,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
FALSE,"/ycw1LTBimIrYIKegutP0SGULZG8.jpg",51619,"en","The Sound Barrier","Fictionalized story of British aerospace engineers solving the problem of supersonic flight.",5.225,"/mRnvfT0GFUwQS2rK8pCrOeWOuzQ.jpg","1952-10-10","The Sound Barrier",FALSE,6.509,52,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
FALSE,"/bJ77lq5x7SDzzh4SvA9tiTYZqRH.jpg",43369,"en","The Card","A charming and ambitious young man finds many ways to raise himself through the ranks in business and social standing - some honest, some not quite so. If he can just manage to avoid a certain very predatory woman.",9.629,"/lFK9EPjJAxSCQcx9jDeF7HplEUx.jpg","1952-02-25","The Card",FALSE,6.947,38,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FALSE,"/9dRmnUEVqzWx1CGXO49Xcif5MJY.jpg",90968,"en","Plymouth Adventure","During the Mayflower pilgrims' long voyage across the Atlantic Ocean on their way to America, Captain Christopher Jones falls in love with William Bradford's wife Dorothy.",5.325,"/p1bBvxJ4hD8MnLRlpH11wIOYyvA.jpg","1952-11-28","Plymouth Adventure",FALSE,5.5,19,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
FALSE,"/hIYZMjRnkbgBJlOONmYCD3wAQBP.jpg",52991,"en","My Son John","In this Cold War drama, a woman suspects her son is a Communist spy.",0.874,"/ljWPm1ELgpHXxvidOFQhff0cD8O.jpg","1952-04-08","My Son John",FALSE,5.2,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FALSE,"/tlQGmVcRFa9VN58cpoCtmfKNgr5.jpg",31713,"en","The Narrow Margin","A tough cop meets his match when he has to guard a gangster's widow on a tense train ride.",6.442,"/kdlCfBmTZ7CoJoCvS1b56Xj1qJi.jpg","1952-05-03","The Narrow Margin",FALSE,7.3,147,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
FALSE,"/bzJLhKLenRtFMuK43O28dOnRtQL.jpg",43188,"en","The Pride of St. Louis","The story of Jerome ""Dizzy"" Dean, a major-league baseball pitcher for the St. Louis Cardinals and Chicago Cubs in the 1930s and 1940s.",1.677,"/9oy3KV2wE1RYG3AvXJDrmVzSf7R.jpg","1952-05-02","The Pride of St. Louis",FALSE,6.9,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FALSE,"/AvdaSijPWCV0XDikddO1nsPQLeF.jpg",25551,"en","The Sniper","Eddie Miller struggles with his hatred of women, he's especially bothered by seeing women with their lovers. He starts a killing spree as a sniper by shooting women from far distances. In an attempt to get caught, he writes an anonymous letter to the police begging them to stop him.",8.306,"/upYwLa9rKoejM79p9DRXuLjYXN7.jpg","1952-05-09","The Sniper",FALSE,6.7,68,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
